three_cols_present,only_discrete,discrete_partial_integ,only_top,only_bottom,fully_integrated,no_depths,depth_flag,harmonized_units,n
0,0,0,0,0,0,1,0,AU/m,81755
0,0,0,0,0,0,1,0,L/mgDOC*m,42076
0,0,0,0,0,0,1,0,None,2566
0,0,0,0,0,0,1,0,RFU,2524
0,0,0,0,0,0,1,0,RU,17710
0,0,0,0,0,0,1,0,nm-1,10229
0,0,0,0,0,0,1,0,ug/L,284
0,0,0,0,0,0,1,0,ug/l QSE,1844
0,1,0,0,0,0,0,1,AU/m,5194
0,1,0,0,0,0,0,1,L/mgDOC*m,3385
0,1,0,0,0,0,0,1,None,58
0,1,0,0,0,0,0,1,RFU,423
0,1,0,0,0,0,0,1,RU,443
0,1,0,0,0,0,0,1,nm-1,274
0,1,0,0,0,0,0,1,ug/L,2068
0,1,0,0,0,0,0,1,ug/l QSE,478
0,0,0,0,0,1,0,2,AU/m,956
0,0,0,0,0,1,0,2,L/mgDOC*m,5
0,0,0,0,0,1,0,2,None,5
0,0,0,0,1,0,0,2,RFU,5
0,0,0,0,0,1,0,2,RU,29
0,0,0,0,0,1,0,2,nm-1,20
0,0,0,0,1,0,0,2,ug/l QSE,15
0,0,1,0,0,0,0,3,AU/m,1162
1,0,0,0,0,0,0,3,AU/m,390
1,0,0,0,0,0,0,3,L/mgDOC*m,36
1,0,0,0,0,0,0,3,None,36
0,0,1,0,0,0,0,3,RFU,3
1,0,0,0,0,0,0,3,RU,247
0,0,1,0,0,0,0,3,nm-1,1162
1,0,0,0,0,0,0,3,nm-1,354
0,0,1,0,0,0,0,3,ug/l QSE,7
