parameter,CharacteristicName,ResultAnalyticalMethod.MethodName,USGSPCode,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultMeasure.MeasureUnitCode,ResultSampleFractionText,tier,min_value,max_value,n
SUVA,UV 254,Computation by NWIS algorithm,63162,ALGOR,USGS,L/mgDOC*m,Dissolved,0,0,198,37767
Absorbance at 254 nm,UV 254,"UV Absorb, 254 nm, Supor (NWQL)",50624,UV006,USGS,units/cm,Dissolved,0,0.7000000000000001,126,12301
Absorbance at 254 nm,UV 254,"UV Absorb, 254 nm, GFF (NWQL)",50624,UV005,USGS,units/cm,Dissolved,0,1,632,12301
Absorbance at 280 nm,Absorbance at 280 nanometers,"UV Absorb, 280 nm, Supor (annon)",61726,UV002,USGS,units/cm,Dissolved,0,0.2,98.1,12272
Absorbance at 280 nm,Absorbance at 280 nanometers,"UV Absorb, 280 nm, GFF (NWQL)",61726,UV007,USGS,units/cm,Dissolved,0,0.7000000000000001,495,12221
Absorbance at 254 nm,UV 254,"UV absorbance, wf, 254 nm",50624,UV008,USGS,units/cm,Dissolved,0,0,190.5,6856
Absorbance at 254 nm,UV 254,"UV Absorb, 254 nm,GFF (USGS-NYL)",50624,UV019,USGS,units/cm,Dissolved,0,0.3,168,5991
Absorbance at 254 nm,UV 254,NA,50624,NA,NA,units/cm,Dissolved,0,0,214,4980
SUVA,UV 254,"SUVA, wf, calculation",63162,UV003,USGS,L/mgDOC*m,Dissolved,0,0.1,10,4759
"Absorption spectral slope, 275 to 295 nm",Absorption spectral slope (Sag),"Sag, specified wavelength range",32300,ABS02,USGS,None,Dissolved,0,0.0077,0.0284,2680
Absorbance at 280 nm,Absorbance at 280 nanometers,"Absorbance, 200 to 800 nm",32296,ABS01,USGS,AU/cm,Dissolved,0,0.06999999999999999,113.5,2678
Absorbance at 370 nm,Absorbance at 370 nanometers,"Absorbance, 200 to 800 nm",32297,ABS01,USGS,AU/cm,Dissolved,0,0,23.69,2676
"Absorption spectral slope, 290 to 350 nm",Absorption spectral slope (Sag),"Sag, specified wavelength range",32301,ABS02,USGS,None,Dissolved,0,0,0.0277,2670
"Absorption spectral slope, 350 to 400 nm",Absorption spectral slope (Sag),"Sag, specified wavelength range",32302,ABS02,USGS,None,Dissolved,0,0.0071,0.0493,2662
Absorbance at 440 nm,Absorbance at 440 nm,"Absorbance, 200 to 800 nm",32299,ABS01,USGS,AU/cm,Dissolved,0,0.05,8.469999999999999,2639
