parameter,CharacteristicName,ResultAnalyticalMethod.MethodName,USGSPCode,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultMeasure.MeasureUnitCode,ResultSampleFractionText,tier,min_value,max_value,n
True color,Color,NA,00080,NA,NA,PCU,Dissolved,2,0,100000,130788
True color,True color,NA,NA,WQ-1,21FLSFWM,PCU,Total,2,1,9892,95390
True color,True color,2120 B ~ Color in Water by Visual Comparison,NA,2120-B,APHA,PCU,Total,2,0,38000,93389
True color,True color,2120 C ~ Color in Water by Spectrophotometry,NA,2120-C,APHA,PCU,NA,2,0,1400,76690
True color,True color,2120 B ~ Color in Water by Visual Comparison,NA,2120-B,APHA,PCU,NA,2,0.5,1400,54650
Apparent color,Apparent color,2120 B ~ Color in Water by Visual Comparison,NA,2120-B,APHA,PCU,Total,1,0.03358575107995421,2322,40716
True color,True color,NA,NA,2120-B,APHA,PCU,Total,2,1.51,6400,40358
True color,True color,NA,NA,110.2,USEPA,PCU,Total,2,0,1700,32162
Apparent color,Apparent color,Color Analysis Using Platinum/Cobalt,NA,110.2,USEPA,PCU,Total,1,0,10000,26348
True color,Color,"Color, wf, visual comparison",00080,CC003,USGS,PCU,Dissolved,1,1,4000,22247
Apparent color,Apparent color,2120 B ~ Color in Water by Visual Comparison,NA,2120-B,APHA,PCU,NA,2,0,1000,21379
Apparent color,Apparent color,NA,00081,NA,NA,PCU,Total,2,1,1900,21346
True color,True color,2120 B ~ Color in Water by Visual Comparison,NA,2120-B,APHA,PCU,Dissolved,1,0,1588,20801
True color,True color,Color Analysis Using Platinum/Cobalt,NA,110.2,USEPA,PCU,Total,2,0,15500,18904
Apparent color,Apparent color,Color Analysis Using Platinum/Cobalt,NA,110.2,USEPA,PCU,NA,2,0,6400,18589
Apparent color,Apparent color,NA,NA,NA,NA,None,NA,2,1,260,16569
True color,True color,2120 C ~ Color in Water by Spectrophotometry,NA,2120-C,APHA,PCU,Total,2,0,839.6,16479
Apparent color,Apparent color,NA,NA,110.2,USEPA,PCU,Total,1,2,2000,14167
True color,True color,Color Analysis Using Platinum/Cobalt,NA,110.2,USEPA,PCU,NA,2,0,1460,13521
True color,True color,NA,NA,2120-B,APHA,PCU,NA,2,0,3400,13278
True color,True color,Other or Unknown Procedure,NA,OTHER/UNKNOWN,21FLSJWM_WQX,PCU,Total,2,0,1406.67761,13275
Apparent color,Apparent color,NA,NA,110.2,USEPA,PCU,NA,2,3,5000,12401
True color,True color,COLOR 345 F .45,NA,COLOR345F_.45,21FLHILL_WQX,PCU,Dissolved,1,1.4,581.4,12223
Apparent color,Apparent color,COLOR (PLATINUM-COBALT UNITS),NA,LEG_P00080,MNPCA,PCU,Dissolved,2,0,888,10929
Apparent color,Apparent color,2120 C ~ Color in Water by Spectrophotometry,NA,2120-C,APHA,PCU,Total,0,0.002053406205959618,4480,8885
True color,True color,Color in Water by Spectrophotometry Modified,NA,2120-B(M),21FLORAN_WQX,PCU,Total,2,0.3,1168,8009
True color,True color,NA,NA,2120-C,APHA,PCU,Total,2,0,2140,7808
True color,True color,Color - Spectrophotometric Single Wavelength Method,NA,0030,21NEV1_WQX,PCU,NA,2,0.0013092340668663383,300,6912
True color,True color,NA,NA,110.2,USEPA,PCU,NA,2,0.5,930,6884
True color,True color,Not Available,NA,Not Available,OREGONDEQ,PCU,NA,2,0.0020405693212524056,1380,6817
Apparent color,Apparent color,NA,NA,2120-B,APHA,PCU,Total,1,0,600,5924
True color,True color,Color - Pt/Co units,NA,COLOR,21FLHILL_WQX,PCU,Dissolved,2,1,484,5326
True color,True color,Color Analysis Using Platinum/Cobalt,NA,110.2,USEPA,PCU,Filterable,1,0,15500,5326
True color,True color,2120 C ~ Color in Water by Spectrophotometry,NA,2120-C,APHA,PCU,Dissolved,0,0,670,5264
True color,True color,Color - Visual Comparison Method,NA,0029,21NEV1_WQX,PCU,NA,2,0.02738485229201615,120,5147
Apparent color,Apparent color,NA,NA,GENERIC,21FLMANA,PCU,Total,2,0,800,5118
Apparent color,Apparent color,General Listing of Field and Lab Analytical Procedures for Manatee County,NA,GENERIC,21FLMANA_WQX,PCU,Total,2,0,800,5117
True color,True color,SM2120C,NA,SM2120C,21FLSFWM_WQX,PCU,Total,2,1,833,5038
Apparent color,Apparent color,LEGACY,NA,NPS_LEGACY,11NPSWRD_WQX,PCU,NA,2,0,110000,4771
True color,True color,COLOR 345 C,NA,COLOR345C,21FLHILL_WQX,PCU,Dissolved,1,1,647.8,4769
True color,True color,2120 E ~ Color in Water Using the ADMI Method,NA,2120-E,APHA,ADMI value,Total,2,10,300,4585
True color,True color,2120 B ~ Color in Water by Visual Comparison,NA,2120-B,APHA,None,Total,2,0.02586849848739803,5000,4346
True color,True color,Color Analysis Using Platinum/Cobalt,NA,110.2,USEPA,PCU,Dissolved,1,1.35,1000,4181
True color,True color,NA,NA,NA,NA,PCU,Filterable,2,0,500,4144
Apparent color,Apparent color,QA Plan #900456,NA,900456,21FLGW_WQX,PCU,Total,2,0.019089860725216568,1000,4102
True color,True color,2120 B ~ Color in Water by Visual Comparison,NA,2120-B,APHA,PCU,Non-Filterable (Particle),2,5,750,4040
Apparent color,Apparent color,NA,NA,2120-B,APHA,PCU,NA,2,0.02,1000,3881
True color,True color,NA,NA,110.2,USEPA,PCU,Filterable,1,0,2334.36945,3870
Apparent color,Apparent color,Color,NA,COLOR,21FLMANA_WQX,PCU,Total,2,0,868,3710
True color,True color,Laboratory Procedures for Water Quality Chemical Analysis,NA,WQ-1,21FLSFWM_WQX,PCU,Total,2,1,749,3539
True color,True color,"Color, APHA Platinum-Cobalt",NA,8025,HACH,PCU,Total,2,0,512,3525
True color,True color,COLOR,NA,SM2120B,21FLLCPC_WQX,PCU,Total,2,1.4,1044,3475
True color,True color,2120 B ~ Color in Water by Visual Comparison,NA,2120-B,APHA,PCU,None,2,0.011713856365531683,490,3364
Apparent color,Apparent color,2120 C ~ Color in Water by Spectrophotometry,NA,2120-C,APHA,PCU,Dissolved,2,0,248,3200
True color,True color,NA,NA,UNKNOWN,21NC01WQ,PCU,NA,2,0,4000,3002
True color,True color,DEP-SOP-NU-094,NA,DEP-SOP-NU-094,21FLGW_WQX,PCU,NA,2,2.5,1000,2972
True color,True color,Color,NA,COLOR,21FLMANA_WQX,PCU,Total,2,0,509,2832
True color,True color,COLOR (PLATINUM-COBALT UNITS),NA,LEG_P00080,MNPCA,PCU,Dissolved,2,5,540,2802
True color,True color,STANDARD METHODS 2120B COLOR BY VISUAL,NA,2120B,21FLWPB_WQX,PCU,Filterable,1,0.1060385110322386,1200,2753
Apparent color,Apparent color,"Color, APHA Platinum-Cobalt",NA,8025,HACH,PCU,Total,0,0,918,2610
True color,True color,USEPA Methods for Chemical Analysis or Water and Wastewater; EPA 600/4-79-020,NA,CHEM,21FLCMP_WQX,PCU,Total,2,0,200,2410
Apparent color,Apparent color,NA,NA,SOP-2,21FLSARA,PCU,Total,2,2,560,2362
Apparent color,Apparent color,Standard Methods for the Examination of Water and Wastewater,NA,STANDMETH,21FLPNS_WQX,PCU,Total,2,0.08680277620442212,800,2279
True color,True color,NA,NA,I1250,USDOI/USGS,PCU,NA,2,0,325,2193
True color,True color,NA,NA,CLR_PHSAMP,21NC01WQ,ADMI value,NA,2,1,1000,2138
True color,True color,2120 C ~ Color in Water by Spectrophotometry,NA,2120-C,APHA,PCU,None,2,0.008940888801589608,1040,2098
True color,True color,NA,NA,CLR_PH76,21NC01WQ,ADMI value,NA,2,1,1100,2078
Apparent color,Apparent color,Standard Methods for the Examination of Water and Wastewater,NA,STANDMETH,21FLPNS_WQX,PCU,NA,2,1,600,1918
True color,True color,"Color, APHA Platinum-Cobalt",NA,8025,HACH,PCU,NA,2,0,87,1865
Apparent color,Apparent color,2120 B ~ Color in Water by Visual Comparison,NA,2120-B,APHA,PCU,None,1,0.0013898365432396531,400,1863
Apparent color,Apparent color,NA,NA,COLOR,21FLMANA,PCU,Total,2,1.4,780,1842
True color,True color,NA,NA,COLOR_SAMPLE PH,21NC02WQ,ADMI value,NA,2,0,1000,1819
True color,True color,NA,NA,COLOR_PH7.6,21NC02WQ,ADMI value,NA,2,2,1100,1818
Color,Color,Color Analysis Using Platinum/Cobalt,NA,110.2,USEPA,PCU,NA,2,0,350,1734
